,Account,Date,PnL,num_trades,win_rate,avg_size,classification,cum_pnl,rolling_max,drawdown,trader_type,profit_flag,next_pnl,profit_bucket
0,0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,0.025974025974025976,2651.0176190476186,2,-327505.900056,-327505.900056,0.0,Frequent,0,1927735.720035,1
1,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,0.40554231227651966,1985.4640554231228,1,1600229.819979,1600229.819979,0.0,Frequent,1,,0
2,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,320,0.53125,376.1923940625,2,20607.446093000002,20607.446093000002,0.0,Frequent,1,17098.727055,1
3,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,0.43504104160769885,168.79034400792528,1,37706.173148,37706.173148,0.0,Frequent,1,,0
5,0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,0.0,151.754,3,-1.0,-1.0,0.0,Infrequent,0,1793.1602149999999,1
6,0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,0.8,3088.326,2,1792.1602149999999,1792.1602149999999,0.0,Infrequent,1,29970.928216,1
7,0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,0.43045774647887325,20366.698045774647,1,31763.088431,31763.088431,0.0,Frequent,1,,0
9,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,0.4437577255871446,3105.8200193823313,2,121880.386016,121880.386016,0.0,Frequent,1,10435.095669,1
10,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,0.4327347659699735,9837.014745460112,1,132315.481685,132315.481685,0.0,Frequent,1,,0
12,0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,0.4744429882044561,38.30898730275229,2,52215.729448,52215.729448,0.0,Frequent,1,116412.254606,1
13,0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,0.5337919870497774,12.396516649534602,1,168627.984054,168627.984054,0.0,Frequent,1,,0
15,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,0.0,1898.1333333333332,2,0.0,0.0,0.0,Infrequent,0,0.0,0
16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,0.0,46132.0,2,0.0,0.0,0.0,Infrequent,0,-5564.01614,0
17,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,0.3333333333333333,4022.6995544814818,0,-5564.01614,0.0,-5564.01614,Frequent,0,215.754798,1
18,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,0.1,0.113085855875,3,-5348.261342,0.0,-5348.261342,Frequent,1,36993.371011,1
19,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,0.46794871794871795,5.850898875576923,2,31645.109669000005,31645.109669000005,0.0,Frequent,1,-59349.677108,0
20,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108,349,0.2636103151862464,9.06767722808023,1,-27704.567439,31645.109669000005,-59349.677108,Frequent,0,,0
22,0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,0.5277777777777778,9659.028077916668,2,34983.381862,34983.381862,0.0,Frequent,1,-20526.462526,0
23,0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526,3445,0.3193033381712627,7087.961241190131,1,14456.919336000003,34983.381862,-20526.462526,Frequent,0,,0
24,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,0.41361256544502617,20.10439298429319,2,7612.618288,7612.618288,0.0,Frequent,1,45883.628955,1
25,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,141,0.5602836879432624,55001.912727730494,1,53496.247243,53496.247243,0.0,Frequent,1,,0
26,0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,125,0.216,412.56482296,2,16102.56859,16102.56859,0.0,Frequent,1,183403.024142,1
